date,home_park_id,bias_offset,projected_total_adj,bias_source,park_blend,park_residual,park_n,global_residual,n_recent
2024-04-20,MIN,-0.66,8.14,fallback,fallback,,0,,0
2024-04-20,NYY,-0.66,8.14,fallback,fallback,,0,,0
2024-04-20,PHI,-0.66,8.14,fallback,fallback,,0,,0
2024-04-20,PIT,-0.66,8.14,fallback,fallback,,0,,0
2024-04-20,SD,-0.66,8.14,fallback,fallback,,0,,0
2024-04-20,SF,-0.66,8.14,fallback,fallback,,0,,0
2024-04-20,STL,-0.66,8.14,fallback,fallback,,0,,0
2024-04-20,WSH,-0.66,8.14,fallback,fallback,,0,,0
2024-04-21,ATL,-0.66,8.14,fallback,fallback,,0,,0
2024-04-21,CHC,-0.66,8.14,fallback,fallback,,0,,0
2024-04-21,CIN,-0.66,8.14,fallback,fallback,,0,,0
2024-04-21,CLE,-0.66,8.14,fallback,fallback,,0,,0
2024-04-21,COL,-0.66,8.14,fallback,fallback,,0,,0
2024-04-21,KC,-0.66,8.14,fallback,fallback,,0,,0
2024-04-21,LAD,-0.66,8.14,fallback,fallback,,0,,0
2024-04-21,MIN,-0.66,8.14,fallback,fallback,,0,,0
2024-04-21,NYY,-0.66,8.14,fallback,fallback,,0,,0
