home_team,away_team,home_sp,away_sp,xgb_l1,stacker_l2,team_log_odds,actual_home_win,game_date,game_pk,model_prob,bet_type,home_score_final,away_score_final,actual,close_ml_home,pinnacle_ml_home,retail_implied_home,P_true_home,retail_odds,retail_imp,p_true,P_true,retail_implied_prob,edge,sanity_check_pass,odds_floor_pass,tier,dollar_stake,actionable,market,lam_home,lam_away,total_line,p_over_dc,p_over_xgb,p_over_final,p_cover_dc,p_cover_xgb,p_home_cover_final,actual_total,close_total,pinnacle_total_over_odds,retail_implied_over,P_true_over,home_covers_rl,runline_home_odds,pinnacle_rl_home_odds,retail_implied_rl_home,P_true_rl_home,actual_f5_home,actual_f5_away,actual_f5_win,f5_home_win,skip_sanity,p_stk_nrfi,pois_p_nrfi,actual_f1_home,actual_f1_away,actual_nrfi,f1_nrfi
PIT,SD,PAUL SKENES,NICK PIVETTA,,,,,2026-04-07,823402,0.6078,OVER,7.0,1.0,0,,,,,-110.0,0.5238095238095238,,,0.5238,0.084,True,True,1.0,50.0,True,TOT,5.903,4.363,8.5,0.4009,0.6963,0.6078,0.5951,0.8316,0.7291,8.0,,,,,,,,,,,,,,,,,,,,
WSH,STL,MILES MIKOLAS,MICHAEL MCGREEVY,,,,,2026-04-08,822753,0.7108,OVER,1.0,6.0,0,,,,,-110.0,0.5238095238095238,,,0.5238,0.187,True,True,1.0,50.0,True,TOT,4.161,7.709,8.5,0.6108,0.8363,0.7108,0.6574,0.2769,0.3565,7.0,,,,,,,,,,,,,,,,,,,,
NYY,ATH,WILL WARREN,LUIS SEVERINO,,,,,2026-04-08,823564,0.6387,OVER,2.0,3.0,0,,,,,-110.0,0.5238095238095238,,,0.5238,0.1149,True,True,1.0,50.0,True,TOT,6.594,4.262,8.5,0.6027,0.755,0.6387,0.8606,0.8809,0.8192,5.0,,,,,,,,,,,,,,,,,,,,
MIN,DET,BAILEY OBER,FRAMBER VALDEZ,,,,,2026-04-08,823726,0.5985,OVER,8.0,6.0,1,,,,,-110.0,0.5238095238095238,,,0.5238,0.0747,True,True,1.0,50.0,True,TOT,4.062,6.191,8.5,0.5159,0.695,0.5985,0.7055,0.4252,0.4654,14.0,,,,,,,,,,,,,,,,,,,,
TB,NYY,STEVEN MATZ,LUIS GIL,,,,,2026-04-10,822997,0.571,OVER,5.0,3.0,0,,,,,-110.0,0.5238095238095238,,,0.5238,0.0472,True,True,1.0,50.0,True,TOT,6.068,3.845,8.5,0.5211,0.6573,0.571,0.6684,0.8851,0.7932,8.0,,,,,,,,,,,,,,,,,,,,
SEA,HOU,EMERSON HANCOCK,TATSUYA IMAI,,,,,2026-04-10,823156,0.559,OVER,9.0,6.0,1,,,,,-110.0,0.5238095238095238,,,0.5238,0.0352,True,True,1.0,37.0,True,TOT,5.512,4.212,8.5,0.4754,0.6353,0.559,0.7106,0.8185,0.7364,15.0,,,,,,,,,,,,,,,,,,,,
DET,MIA,KEIDER MONTERO,CHRIS PADDACK,,,,,2026-04-10,824297,0.5819,OVER,2.0,0.0,0,,,,,-110.0,0.5238095238095238,,,0.5238,0.0581,True,True,1.0,50.0,True,TOT,5.573,4.451,8.5,0.494,0.6699,0.5819,0.7654,0.799,0.7299,2.0,,,,,,,,,,,,,,,,,,,,
ATL,CLE,BRYCE ELDER,SLADE CECCONI,,,,,2026-04-10,824941,0.5397,OVER,11.0,5.0,1,,,,,-110.0,0.5238095238095238,,,0.5238,0.0159,True,True,2.0,8.0,True,TOT,5.932,3.535,8.5,0.4526,0.6041,0.5397,0.7613,0.9014,0.8224,16.0,,,,,,,,,,,,,,,,,,,,
SEA,HOU,LUIS CASTILLO,LANCE MCCULLERS JR.,,,,,2026-04-11,823155,0.5576,OVER,8.0,7.0,1,,,,,-110.0,0.5238095238095238,,,0.5238,0.0338,True,True,1.0,35.0,True,TOT,4.506,5.2,8.5,0.4754,0.6332,0.5576,0.7106,0.6053,0.5819,15.0,,,,,,,,,,,,,,,,,,,,
BAL,SF,CHRIS BASSITT,LOGAN WEBB,,,,,2026-04-11,824857,0.6119,OVER,6.0,2.0,0,,,,,-110.0,0.5238095238095238,,,0.5238,0.0881,True,True,1.0,50.0,True,TOT,4.057,6.335,8.5,0.4823,0.7096,0.6119,0.7275,0.4076,0.4579,8.0,,,,,,,,,,,,,,,,,,,,
