date,game,home_abbr,away_abbr,model,bet_type,pick_direction,model_prob,P_true,Retail_Implied_Prob,edge,retail_american_odds,tier,dollar_stake,signal_flags,result,profit_loss,graded_at
2026-04-17,Tampa Bay Rays @ Pittsburgh Pirates,PIT,TB,Runline,Runline -1.5,HOME,0.8451,0.3595,0.636417,0.2087,-199.0,1,50.0,,WIN,25.13,2026-04-22T13:47:45+00:00
2026-04-17,San Francisco Giants @ Washington Nationals,WSH,SF,Totals,Total 8.5,OVER,0.7331,0.4852,0.489166,0.2439,-110.0,1,50.0,,WIN,45.45,2026-04-22T13:47:45+00:00
2026-04-18,Chicago White Sox @ Oakland Athletics,ATH,CWS,Totals,Total 8.5,OVER,0.6822,,0.5238095238095238,0.1584,-110.0,1,50.0,,WIN,45.45,2026-04-22T13:47:45+00:00
2026-04-18,St. Louis Cardinals @ Houston Astros,HOU,STL,Totals,Total 8.5,OVER,0.6774,,0.5238095238095238,0.1536,-110.0,1,50.0,,WIN,45.45,2026-04-22T13:47:45+00:00
2026-04-18,Kansas City Royals @ New York Yankees,NYY,KC,Totals,Total 8.5,OVER,0.8146,,0.5238095238095238,0.2908,-110.0,1,50.0,,WIN,45.45,2026-04-22T13:47:45+00:00
2026-04-18,Tampa Bay Rays @ Pittsburgh Pirates,PIT,TB,Totals,Total 8.5,OVER,0.8399,,0.5238095238095238,0.3161,-110.0,1,50.0,,WIN,45.45,2026-04-22T13:47:45+00:00
2026-04-18,San Francisco Giants @ Washington Nationals,WSH,SF,Totals,Total 8.5,OVER,0.7405,,0.5238095238095238,0.2167,-110.0,1,50.0,,WIN,45.45,2026-04-22T13:47:45+00:00
2026-04-19,Chicago White Sox @ Oakland Athletics,ATH,CWS,ML,Moneyline,HOME,0.717,0.5881,0.592911,0.1241,-163.0,1,50.0,,LOSS,-50.0,2026-04-22T13:47:45+00:00
2026-04-19,Chicago White Sox @ Oakland Athletics,ATH,CWS,Runline,Runline -1.5,HOME,0.804,0.4303,0.428372,0.3756,123.0,1,50.0,,LOSS,-50.0,2026-04-22T13:47:45+00:00
2026-04-19,Toronto Blue Jays @ AZ,AZ,TOR,Runline,Runline -1.5,HOME,0.6777,0.6134,0.614537,0.0632,-180.0,1,48.78,,LOSS,-48.78,2026-04-22T13:47:45+00:00
2026-04-19,Detroit Tigers @ Boston Red Sox,BOS,DET,Runline,Runline -1.5,HOME,0.4916,0.3707,0.369133,0.1225,159.0,1,50.0,,LOSS,-50.0,2026-04-22T13:47:45+00:00
2026-04-19,New York Mets @ Chicago Cubs,CHC,NYM,ML,Moneyline,HOME,0.831,0.3274,0.342797,0.4882,174.0,1,50.0,,WIN,87.0,2026-04-22T13:47:45+00:00
2026-04-19,Baltimore Orioles @ Cleveland Guardians,CLE,BAL,Runline,Runline -1.5,HOME,0.6626,0.5178,0.315436,0.3472,198.0,1,50.0,,WIN,99.0,2026-04-22T13:47:45+00:00
2026-04-19,Los Angeles Dodgers @ Colorado Rockies,COL,LAD,ML,Moneyline,HOME,0.626,0.2063,0.209792,0.4162,348.0,1,50.0,,WIN,174.0,2026-04-22T13:47:45+00:00
2026-04-19,Los Angeles Dodgers @ Colorado Rockies,COL,LAD,Runline,Runline -1.5,HOME,0.5641,0.473,0.491797,0.0723,-110.0,1,42.31,,WIN,38.46,2026-04-22T13:47:45+00:00
2026-04-19,St. Louis Cardinals @ Houston Astros,HOU,STL,ML,Moneyline,HOME,0.269,0.1059,0.141674,0.1273,563.0,1,50.0,,LOSS,-50.0,2026-04-22T13:47:45+00:00
2026-04-19,St. Louis Cardinals @ Houston Astros,HOU,STL,Runline,Runline -1.5,HOME,0.5469,0.4728,0.404828,0.1421,132.0,1,50.0,,LOSS,-50.0,2026-04-22T13:47:45+00:00
2026-04-19,St. Louis Cardinals @ Houston Astros,HOU,STL,Totals,Total 8.5,OVER,0.5259,0.4957,0.428968,0.0969,-110.0,1,2.2,,WIN,2.0,2026-04-22T13:47:45+00:00
2026-04-19,Milwaukee Brewers @ Miami Marlins,MIA,MIL,Runline,Runline -1.5,HOME,0.4459,0.5343,0.330698,0.1152,184.0,1,50.0,,WIN,92.0,2026-04-22T13:47:45+00:00
2026-04-19,Cincinnati Reds @ Minnesota Twins,MIN,CIN,Runline,Runline -1.5,HOME,0.5877,0.527,0.521472,0.0662,-125.0,1,36.16,,LOSS,-36.16,2026-04-22T13:47:45+00:00
2026-04-19,Cincinnati Reds @ Minnesota Twins,MIN,CIN,Totals,Total 8.5,OVER,0.6377,0.5065,0.517355,0.1203,-110.0,1,50.0,,WIN,45.45,2026-04-22T13:47:45+00:00
2026-04-19,Kansas City Royals @ New York Yankees,NYY,KC,ML,Moneyline,HOME,0.823,0.5779,0.565603,0.2574,-145.0,1,50.0,,WIN,34.48,2026-04-22T13:47:45+00:00
2026-04-19,Kansas City Royals @ New York Yankees,NYY,KC,Runline,Runline -1.5,HOME,0.8991,0.3961,0.396715,0.5024,141.0,1,50.0,,WIN,70.5,2026-04-22T13:47:45+00:00
2026-04-19,Tampa Bay Rays @ Pittsburgh Pirates,PIT,TB,Totals,Total 8.5,OVER,0.6039,0.3957,0.270598,0.3333,-110.0,1,50.0,,WIN,45.45,2026-04-22T13:47:45+00:00
2026-04-19,Texas Rangers @ Seattle Mariners,SEA,TEX,Runline,Runline -1.5,HOME,0.5889,0.3734,0.363583,0.2253,163.0,1,50.0,,WIN,81.5,2026-04-22T13:47:45+00:00
2026-04-19,San Francisco Giants @ Washington Nationals,WSH,SF,Totals,Total 8.5,OVER,0.5351,0.2621,0.442145,0.093,-110.0,1,11.86,,LOSS,-11.86,2026-04-22T13:47:45+00:00
2026-04-20,Detroit Tigers @ Boston Red Sox,BOS,DET,Runline,Runline -1.5,HOME,0.6089,0.5248,0.433109,0.1758,117.0,1,50.0,,WIN,58.5,2026-04-22T13:47:45+00:00
2026-04-20,Philadelphia Phillies @ Chicago Cubs,CHC,PHI,ML,Moneyline,HOME,0.69,0.5047,0.523539,0.1665,-126.0,1,50.0,,WIN,39.68,2026-04-22T13:47:45+00:00
